store_id,store_name,ownership_type,state_region,country_code,longitude,latitude
667,265 Wharncliffe Rd N,Company Owned,ON,CA,-81.26,42.99
2535,Reading - Sainsbury's Calcot,Company Owned,ENG,GB,-1.06,51.44
14196,Independence Blvd.,Company Owned,VA,US,-76.13,36.83
16306,Monument & McCormick,Company Owned,FL,US,-81.5,30.36
7220,CMH - Columbus B Concourse,Licensed Store,OH,US,-82.89,40.0
1014116,南京紫荆广场店,Joint Venture,32,CN,118.79,31.99
1005346,The Bow,Company Owned,AB,CA,-114.06,51.05
12927,Corson & Michigan - Seattle,Company Owned,WA,US,-122.32,47.55
13297,Albertsons 3531 @ Lake Oswego,Licensed Store,OR,US,-122.72,45.41
13996,Safeway-Kenmore #3500,Licensed Store,WA,US,-122.25,47.76
7430,Tioga Town Center,Company Owned,FL,US,-82.48,29.66
1007178,Highland & Willoughby,Company Owned,CA,US,-118.34,34.09
10898,US 31 & Alto,Company Owned,IN,US,-86.13,40.44
9143,7700 Maple Street,Company Owned,LA,US,-90.13,29.94
89071,宁波钱湖天地店,Joint Venture,33,CN,121.57,29.83
1005230,湖州浙北中心店,Joint Venture,33,CN,120.1,30.87
1015447,Family Fare 3784 Omaha,Licensed Store,NE,US,-96.14,41.23
11802,15th & K,Company Owned,DC,US,-77.03,38.9
113945,Q Square-Taipei-4F,Joint Venture,TPE,TW,121.52,25.05
35528,50 Connaught Road Central,Licensed Store,91,CN,114.16,22.29
1012519,Teavana - Westside Pavilion,Company Owned,CA,US,-118.43,34.04
18661,Safeway-Eugene #4513,Licensed Store,OR,US,-123.09,44.01
18180,Mount Airy Shopping Center,Company Owned,MD,US,-77.16,39.36
17351,Renaissance Long Beach - Gift Shop,Licensed Store,CA,US,-118.19,33.77
3362,Cambridge City Square- Ground Floor,Licensed Store,SU,ID,98.67,3.58
1361,Mountain Side Village,Company Owned,AB,CA,-115.36,51.09
10655,Nassau & Fulton,Company Owned,NY,US,-74.01,40.71
10235,Chino Hills Pkwy & Pipeline,Company Owned,CA,US,-117.71,33.98
113529,Palembang Indah Mal,Licensed Store,SS,ID,104.76,-2.98
68947,Bujeon station,Joint Venture,26,KR,129.06,35.16
1014083,Clinica Tabancura,Licensed Store,RM,CL,-70.54,-33.38
1013226,Ralphs Palm Springs #181,Licensed Store,CA,US,-116.53,33.8
20040,Church & Gerrard,Company Owned,ON,CA,-79.38,43.66
68733,Duryu Station,Joint Venture,27,KR,128.56,35.86
6096,Kang Ning,Joint Venture,TPE,TW,121.61,25.07
1014109,Luxembourg Airport (landside),Licensed Store,L,LU,6.21,49.63
1014438,Universal Studios Hollywood - Upper,Licensed Store,CA,US,-118.36,34.14
11807,Mamaroneck,Company Owned,NY,US,-73.74,40.94
10431,168th & Washington- Thornton,Company Owned,CO,US,-104.98,40.0
18142,El Camino & McLellan,Company Owned,CA,US,-122.45,37.66
12401,Safeway-Severna Park #1351,Licensed Store,MD,US,-76.58,39.08
8638,Day Creek & Foothill,Company Owned,CA,US,-117.54,34.11
5140,Queensbay Mall,Licensed Store,07,MY,100.31,5.33
14454,Target Foothill Ranch T-913,Licensed Store,CA,US,-117.67,33.69
113305,Suita Yamada,Joint Venture,27,JP,135.53,34.8
116419,武汉首义汇店,Company Owned,42,CN,114.3,30.53
91888,Target Chicago T-2781,Licensed Store,IL,US,-87.65,41.88
8563,Fred Meyer - Peninsula #255,Licensed Store,OR,US,-122.74,45.59
15760,Castro Valley & Lake Chabot,Company Owned,CA,US,-122.09,37.69
1008638,827 Arthur Godfrey Road,Company Owned,FL,US,-80.13,25.81
18015,Canadaigua,Company Owned,NY,US,-77.26,42.88
3659,Shinjuku Nomura Bldg.,Joint Venture,13,JP,139.7,35.69
11625,Ocean Park & 29th,Company Owned,CA,US,-118.45,34.02
5693,Marina Square II,Company Owned,01,SG,103.86,1.29
1007866,Exchange Square 3,Licensed Store,91,CN,114.16,22.28
10138,Target Biddeford T-2166,Licensed Store,ME,US,-70.51,43.47
1007098,I-90 and E. North - Rapid City,Company Owned,SD,US,-103.18,44.1
1005408,JR Nagoya,Licensed Store,23,JP,136.88,35.17
3544,Fuchu Kururu,Joint Venture,13,JP,139.48,35.67
92685,Broadway & Lincoln,Company Owned,CA,US,-118.49,34.02
1017101,Aysekadin,Licensed Store,34,TR,29.09,40.97
1012065,成都海洋中心店,Company Owned,51,CN,104.07,30.55
1011778,Jean Jaures,Licensed Store,C,AR,-58.41,-34.6
383,Broadway Ave & 10 Street E,Company Owned,SK,CA,-106.66,52.12
8089,Memorial & Mastin Lake,Company Owned,AL,US,-86.59,34.77
16682,"Shields & Hwy 41, Fresno",Company Owned,CA,US,-119.79,36.78
1515,Mirador del Alto,Licensed Store,RM,CL,-70.55,-33.39
11196,49th & 8th,Company Owned,NY,US,-73.99,40.76
1212,James Bay Square - Simcoe St,Company Owned,BC,CA,-123.38,48.42
1010433,Kroger Findlay #327,Licensed Store,OH,US,-83.61,41.06
1012562,Yangju Goeup,Joint Venture,41,KR,127.08,37.79
889,Dundas & Roncesvalles,Company Owned,ON,CA,-79.45,43.65
504,Genco Place,Company Owned,AB,CA,-114.07,51.04
1014737,Outlets of Little Rock,Company Owned,AR,US,-92.41,34.66
9481,Boscell & Auto Mall Pkwy,Company Owned,CA,US,-121.98,37.5
7432,Forest Hill Blvd & Wellington Trace,Company Owned,FL,US,-80.25,26.67
18158,I 55 & William,Company Owned,MO,US,-89.58,37.3
2923,Clapham - St. John's Road,Company Owned,ENG,GB,-0.17,51.46
401,Safeway-Surrey #92,Licensed Store,BC,CA,-122.89,49.14
1006159,Target Vadnais Heights T-751,Licensed Store,MN,US,-93.06,45.05
1005966,唐山银泰店,Company Owned,13,CN,118.18,39.63
1012409,Teavana - Calgary Eaton Centre,Company Owned,AB,CA,-114.07,51.05
2230,Castellana 70,Licensed Store,MD,ES,-3.69,40.44
11539,Amyclae,Company Owned,MD,US,-76.32,39.55
1283,435 Stone Road W,Company Owned,ON,CA,-80.24,43.52
693,111 St & Ellerslie Rd,Company Owned,AB,CA,-113.51,53.42
1011202,松江新理想广场店,Joint Venture,31,CN,121.2,31.02
1013387,Nanba Walk,Company Owned,27,JP,135.5,34.67
92697,Xi Zi Bay,Joint Venture,KHH,TW,120.27,22.62
20130,Village Nottingham,Licensed Store,ENG,GB,-1.24,52.9
1006656,深圳龙岗万科店,Company Owned,44,CN,114.24,22.72
1066,Brock Plaza Hotel - Retail Strip,Licensed Store,ON,CA,-79.07,43.09
1015449,Brussels Schuman Metro Station,Licensed Store,BE,BE,4.38,50.84
1008553,浦东机场交通中心店,Joint Venture,31,CN,121.81,31.15
1006363,Songdo Canal Walk,Joint Venture,28,KR,126.64,37.4
1008668,Bower Place,Company Owned,AB,CA,-113.81,52.24
12504,2344 Eastlake,Company Owned,WA,US,-122.33,47.64
7634,SuperTarget - Apple Valley T-2260,Licensed Store,CA,US,-117.22,34.53
1006028,南京花园城店,Joint Venture,32,CN,118.89,32.05
14480,Broward Health Medical Center,Company Owned,FL,US,-80.14,26.1
8947,Spring and Varick,Company Owned,NY,US,-74.01,40.73
5782,Central World Plaza-Third Floor,Company Owned,10,TH,100.54,13.75
1041,Pacific Blvd & Davie/Concord,Company Owned,BC,CA,-123.12,49.27
10272,19th & Telephone,Company Owned,OK,US,-97.5,35.32
18698,Safeway-Castlegar #196,Licensed Store,BC,CA,-117.66,49.3
1012127,Cambridge - Christs Lane,Franchise,ENG,GB,0.12,52.21
18919,Hermes Park,Licensed Store,23,BG,23.43,42.64
16711,Metropolitan Park,Company Owned,WA,US,-122.33,47.62
1011942,BJV Airport Air Side,Licensed Store,48,TR,27.66,37.25
1015175,Romford - Liberty Shopping Centre,Franchise,ENG,GB,0.18,51.58
4007,Kashiwa Takashimaya Station Mall,Joint Venture,12,JP,139.97,35.86
1355,Embassy Suites Niagara Falls,Licensed Store,ON,CA,-79.08,43.08
1007595,北京西站第一咖啡店,Company Owned,11,CN,116.32,39.9
17929,Camino Capistrano & Ortega Hwy,Company Owned,CA,US,-117.66,33.5
15390,Wellington Green,Company Owned,FL,US,-80.21,26.65
1567,红房子店,Joint Venture,31,CN,121.46,31.22
14065,23 Mile Rd & M-53,Company Owned,MI,US,-83.01,42.67
18137,Hwy 6 & 25 Rd - Grand Junction,Company Owned,CO,US,-108.59,39.08
7266,Safeway - Parker #2075,Licensed Store,AZ,US,-114.28,34.15
19097,Brixton Station,Company Owned,ENG,GB,-0.11,51.46
15128,Safeway - Lakewood #344,Licensed Store,CO,US,-105.1,39.74
10044,Fayette Mall,Company Owned,KY,US,-84.53,37.99
6507,Target Romeoville T-2293,Licensed Store,IL,US,-88.12,41.61
68160,Michigan State University-Wells Hal,Licensed Store,MI,US,-84.48,42.73
11365,Albertsons-Carson #6159,Licensed Store,CA,US,-118.27,33.81
16061,N. Miller & N. Mission,Company Owned,WA,US,-120.33,47.44
17712,"SR 48 & SR 37, Bloomington",Company Owned,IN,US,-86.57,39.17
10300,Walnut & 46th,Company Owned,AR,US,-94.18,36.33
14244,"Manchester, Spencer Street",Company Owned,CT,US,-72.57,41.77
1013824,Steamboat-Hwy 40 and Anglers,Company Owned,CO,US,-106.83,40.47
1007591,Kroger - Fort Wayne #972,Licensed Store,IN,US,-85.14,41.18
8283,Wade Hampton Blvd & Brannon Dr,Company Owned,SC,US,-82.27,34.94
1013902,TSUTAYA Surugawan Numazu Service Ar,Licensed Store,22,JP,138.81,35.15
6207,Feng Yuan,Joint Venture,TXG,TW,120.72,24.25
13124,Vons-La Crescenta #2598,Licensed Store,CA,US,-118.25,34.23
11906,Silver Creek & Beaumont Canyon,Company Owned,CA,US,-121.78,37.29
69690,Camp Carroll,Joint Venture,47,KR,128.67,35.89
1015047,Mohamed V International Airport,Licensed Store,MA,MA,-7.58,33.37
771,Westin Bayshore,Licensed Store,BC,CA,-123.13,49.29
17668,Safeway-Chico #1651,Licensed Store,CA,US,-121.84,39.74
88258,Haeundae E-Mart,Joint Venture,26,KR,129.17,35.17
1013317,Teavana - Phipps Plaza,Company Owned,GA,US,-84.36,33.85
1010193,临海耀达百货店,Joint Venture,33,CN,121.14,28.85
13708,Vons-Las Vegas #2390,Licensed Store,NV,US,-115.15,36.04
18678,Ferris State University - IRC Conne,Licensed Store,MI,US,-85.48,43.69
18077,QFC - Port Hadlock #870,Licensed Store,WA,US,-122.76,48.03
1007013,Krasnaya Roza,Joint Venture,MOW,RU,37.59,55.73
17632,Lake & Waukegan,Company Owned,IL,US,-87.8,42.08
91070,Dundas & Aukland,Company Owned,ON,CA,-79.54,43.64
1012516,Teavana - Solano Town Center,Company Owned,CA,US,-122.05,38.26
13552,95th & Broadway,Company Owned,NY,US,-73.97,40.79
1016108,Target Freeport T-3236,Licensed Store,NY,US,-73.59,40.66
1753,北京华宇时尚店,Company Owned,11,CN,116.32,39.97
1015288,Universite Caddesi,Licensed Store,26,TR,30.51,39.79
1011410,Suntec City Mall level 1,Company Owned,01,SG,103.86,1.29
8974,Stonehenge,Company Owned,NC,US,-78.68,35.89
1015766,Silver Plaza,Licensed Store,01,SA,46.62,24.68
1007236,Aura,Joint Venture,YAR,RU,39.87,57.63
6559,Sepulveda & 89th,Company Owned,CA,US,-118.4,33.96
9849,Hesperia & Bear Valley,Company Owned,CA,US,-117.29,34.47
11055,Super Target Birmingham ST-1772,Licensed Store,AL,US,-86.71,33.43
17988,Hwy 341 & I-95,Company Owned,GA,US,-81.52,31.22
8725,College & Bennington,Company Owned,LA,US,-91.14,30.42
16072,Wolf Road,Company Owned,NY,US,-73.82,42.71
1008940,Highway 169 and Freeport-Elk River,Company Owned,MN,US,-93.56,45.32
8693,700 E & 400 S - Salt Lake City,Company Owned,UT,US,-111.87,40.76
15765,Powers & Stetson,Company Owned,CO,US,-104.72,38.91
1012122,包头百货大楼店,Company Owned,15,CN,109.82,40.66
9633,Target Santa Rosa T-937,Licensed Store,CA,US,-122.71,38.42
69039,哈尔滨松雷店,Company Owned,23,CN,126.62,45.77
16899,Safeway-Parker #1446,Licensed Store,CO,US,-104.77,39.52
15078,Mission & Warm Springs Blvd,Company Owned,CA,US,-121.93,37.49
13827,"Keene, West St.",Company Owned,NH,US,-72.29,42.93
754,University of Toronto/Toronto/Medic,Licensed Store,ON,CA,-79.4,43.66
3714,atre Kameido,Joint Venture,13,JP,139.83,35.7
7892,Hen House-Lenexa #19,Licensed Store,KS,US,-94.76,38.97
1006837,Hy-Vee - West Des Moines #1,Licensed Store,IA,US,-93.75,41.6
1013991,Aeropuerto Juan Santamaria,Licensed Store,A,CR,-84.12,9.6
7245,38th & El Camino Real,Company Owned,CA,US,-122.29,37.53
1009031,Olympic Park North Gate,Joint Venture,11,KR,127.13,37.53
1006736,Hwy 423 & 720,Company Owned,TX,US,-96.89,33.17
18696,Frys-Prescott Valley #63,Licensed Store,AZ,US,-112.34,34.59
1008356,郑州丹尼斯大卫城,Company Owned,41,CN,113.67,34.76
88359,Kyungpook University,Joint Venture,27,KR,128.61,35.89
7151,Target Sierra Vista T-735,Licensed Store,AZ,US,-110.26,31.56
5897,Outlet Village-KhaoYai,Company Owned,30,TH,101.39,14.66
19053,Muzeum,Joint Venture,PR,CZ,14.43,50.08
18310,Target Columbus/Dublin T-666,Licensed Store,OH,US,-83.09,40.09
1015381,Atlantic Ave & Turnpike,Company Owned,FL,US,-80.17,26.45
979,"YUL Mont Drvl Intl Depart, Gate 16",Licensed Store,QC,CA,-73.75,45.46
7943,39th & Holgate- Portland,Company Owned,OR,US,-122.62,45.49
1005219,Kingsview Market,Company Owned,AB,CA,-113.99,51.27
7202,Combs Flat Crossing- Prineville,Company Owned,OR,US,-120.83,44.3
15310,"Norwalk, Dansk Plaza",Company Owned,CT,US,-73.4,41.12
1005536,East Carolina University Joyner Lib,Licensed Store,NC,US,-77.37,35.61
10478,"Kroger-Augusta, GA #676",Licensed Store,GA,US,-82.03,33.51
1008364,Twofour 54,Licensed Store,AZ,AE,54.38,24.48
17269,"Portsmouth, Woodbury Avenue",Company Owned,NH,US,-70.79,43.09
1016239,Ralph's - Los Angeles #185,Licensed Store,CA,US,-118.37,33.98
1014746,Mall of Africa,Licensed Store,GT,ZA,28.11,-26.02
88252,Kangwon-University,Joint Venture,42,KR,127.75,37.87
10388,FM 423 & Eldorado Pkwy,Company Owned,TX,US,-96.88,33.18
1014802,南京缤润汇购物中心店,Joint Venture,32,CN,118.73,31.99
1015356,Glassford Hill Rd & Sundogs,Company Owned,AZ,US,-112.34,34.59
69716,Yokohama Sky Bldg.,Joint Venture,14,JP,139.63,35.46
1012433,Teavana - Crabtree Valley Mall,Company Owned,NC,US,-78.68,35.84
6950,Lusby Commons,Company Owned,MD,US,-76.44,38.37
4509,서울극장점,Joint Venture,11,KR,126.99,37.57
8212,Harris Teeter-Holly Springs #118,Licensed Store,NC,US,-78.8,35.66
6066,Chong De,Joint Venture,TXG,TW,120.7,24.18
14204,Dempster & Niles - Skokie Swift,Company Owned,IL,US,-87.75,42.04
19443,University of the Sciences-Philadel,Licensed Store,PA,US,-75.21,39.95
3883,Tamachi Eki Nishiguchi,Joint Venture,13,JP,139.75,35.65
1011434,Sakata Mizuho,Joint Venture,05,JP,139.85,38.9
69601,Balikpapan Plaza,Licensed Store,SM,ID,116.82,-1.22
1006962,Nantou Rest Area-Freeway #3,Joint Venture,NAN,TW,120.71,23.9
1015202,Staines - High Street,Franchise,ENG,GB,-1.48,52.92
4489,포이점,Joint Venture,11,KR,127.05,37.48
17799,"Panama & Stine, Bakersfield",Company Owned,CA,US,-119.05,35.3
113830,崇明八一广场店,Joint Venture,31,CN,121.4,31.62
1005333,Odakyu Shinjuku,Joint Venture,13,JP,139.7,35.69
1007897,Living World,Licensed Store,JW,ID,106.88,-6.15
1008425,长泰广场店,Joint Venture,31,CN,121.6,31.21
65990,Stansted Airport DT,Franchise,ENG,GB,0.25,51.88
1008674,Palm & Harvard,Company Owned,CA,US,-119.07,34.35
1014178,Amos Hall,Company Owned,PA,US,-79.96,40.44
15113,Vermont & Prospect,Company Owned,CA,US,-118.29,34.1
1015068,Incheon Yeonsu,Joint Venture,28,KR,126.68,37.42
1012467,Teavana - Mall of New Hampshire,Company Owned,NH,US,-71.43,42.96
9991,Von's-West Hollywood #2739,Licensed Store,CA,US,-118.39,34.08
7881,Kroger - Decatur #459,Licensed Store,GA,US,-84.27,33.79
19362,Auchan Troyka SM Ground Floor,Joint Venture,MOW,RU,37.67,55.78
14598,St. Paul-Grand Ave & Oxford St,Company Owned,MN,US,-93.14,44.94
1008336,台州耀达百货店,Joint Venture,33,CN,121.43,28.65
1009309,Tops Markets - Rhinebeck #531,Licensed Store,NY,US,-73.9,41.95
1007421,Prabhadevi,Joint Venture,MH,IN,72.82,19.01
13726,Washington & Clinton,Company Owned,IL,US,-87.64,41.88
8715,Union Street Station,Company Owned,FL,US,-82.32,29.65
92619,Al Ain Tower,Licensed Store,AZ,AE,54.54,24.51
10281,Placer Heights - Redding,Company Owned,CA,US,-122.42,40.57
4187,Okazaki Tatsumi,Joint Venture,23,JP,137.17,34.94
10385,I 30 & Alcoa,Company Owned,AR,US,-92.53,34.61
1008528,Hachinohe Shiroshita,Joint Venture,02,JP,141.49,40.52
1006585,Waikiki Shopping Plaza,Company Owned,HI,US,-157.83,21.28
1012699,Teavana - 29th Street Mall,Company Owned,CO,US,-105.25,40.03
19369,SSP Luton Landside,Licensed Store,ENG,GB,-0.38,51.88
16479,Holcomb Br. @ Barnwell,Company Owned,GA,US,-84.27,33.99
11302,3400 Bay to Bay Blvd.,Company Owned,FL,US,-82.5,27.92
3537,Toshimaen Eki-mae,Joint Venture,13,JP,139.65,35.74
1012768,Teavana - Fashion Show,Company Owned,NV,US,-115.17,36.13
389,Safeway-Richmond #191,Licensed Store,BC,CA,-123.18,49.15
10018,Stop & Shop - Phillipsburg #816,Licensed Store,NJ,US,-75.15,40.68
1007152,Starbucks,Licensed Store,34,TR,29.05,41.0
1006375,Hall Rd & Hayes,Company Owned,MI,US,-82.98,42.63
15849,Leschi,Company Owned,WA,US,-122.29,47.6
1005168,广州新粤新分店,Company Owned,44,CN,113.28,23.14
1852,赵巷店,Joint Venture,31,CN,121.23,31.15
1005302,FE21 Taoyuan-B1,Joint Venture,TAO,TW,121.31,24.99
13849,Bay Ridge Pkwy & 3rd Ave,Company Owned,NY,US,-74.03,40.63
12025,Squirrel Hill,Company Owned,PA,US,-79.92,40.44
12499,Farm Fresh-Hampton #240,Licensed Store,VA,US,-76.33,37.06
17779,Arden & Morse,Company Owned,CA,US,-121.39,38.6
12309,190th & Anza,Company Owned,CA,US,-118.37,33.86
5295,Morelli,Licensed Store,LIM,PE,-77.03,-12.06
10406,Target Houston T-858,Licensed Store,TX,US,-95.5,29.85
1014095,苏州鲜橙广场,Joint Venture,32,CN,120.73,31.26
12449,Target Minneapolis T-1375,Licensed Store,MN,US,-93.27,44.97
13577,South Brookline,Company Owned,MA,US,-71.15,42.3
1009228,SSP Bath,Licensed Store,ENG,GB,-2.36,51.38
1008720,ISB & Clyde Morris,Company Owned,FL,US,-81.06,29.2
113816,"Smithfield, Putnam Pike",Company Owned,RI,US,-71.53,41.87
1012626,Kowalski's - Excelsior,Licensed Store,MN,US,-93.57,44.9
1008422,Toyosu Foresia,Joint Venture,13,JP,139.79,35.66
1005378,Marriott University Park - Salt Lak,Licensed Store,UT,US,-111.83,40.76
13745,Target Grapevine T-876,Licensed Store,TX,US,-97.09,32.93
10115,Target Arlington T-2192,Licensed Store,WA,US,-122.19,48.15
8758,"Shelton, Crown Point Center",Company Owned,CT,US,-73.11,41.29
16087,Merrick,Company Owned,NY,US,-73.55,40.66
1006021,SFU - West Mall Building,Licensed Store,BC,CA,-122.92,49.28
1015998,Mia Newtown,Joint Venture,11,KR,127.02,37.62
1015167,THSR Nangang Station,Joint Venture,TPE,TW,121.61,25.05
1014601,Tobu Narimasu Eki,Joint Venture,13,JP,139.63,35.78
1007600,Price Chopper - Loudonville #188,Licensed Store,NY,US,-73.78,42.71
6927,Mall at Tuttle Crossing,Company Owned,OH,US,-83.13,40.07
8292,Michigan City-Franklin & Rte 20,Company Owned,IN,US,-86.89,41.68
1013687,Pyeongtaek Humpreys Troop Mall,Joint Venture,41,KR,127.01,36.96
924,Cornwall & Cypress,Company Owned,BC,CA,-123.15,49.27
12561,Safeway-The Dalles #1489,Licensed Store,OR,US,-121.19,45.6
4501,아시아선수촌점,Joint Venture,11,KR,127.08,37.51
1005178,MRT Banqiao Station-B1-3A,Joint Venture,TPE,TW,121.46,25.01
15441,Santa Monica & Pontius,Company Owned,CA,US,-118.45,34.05
113559,Jiaoxi,Joint Venture,ILA,TW,121.77,24.83
69608,Wallasey - New Brighton,Franchise,ENG,GB,-3.05,53.44
18500,Paseo & Golf Course Rd.,Company Owned,NM,US,-106.69,35.18
1016396,Jewel Osco - Minooka #3730,Licensed Store,IL,US,-88.27,41.42
1014081,苏州望湖大厦店,Joint Venture,32,CN,120.72,31.32
1399,Sunterra Mkt - TransCanada Tower,Licensed Store,AB,CA,-114.07,51.05
15607,Indian Trail @ Oak Brook Pkwy,Company Owned,GA,US,-84.17,33.92
69771,Starbucks,Licensed Store,06,TR,32.85,39.92
8792,Albertsons-Las Vegas #6012,Licensed Store,NV,US,-115.28,36.22
4014,Narita Bon Belta,Joint Venture,12,JP,140.29,35.78
1016309,Fry's Chandler #681,Licensed Store,AZ,US,-111.8,33.22
116494,Double Tree South Bend,Licensed Store,IN,US,-86.25,41.68
16922,N. Central Exp & Mockingbird,Company Owned,TX,US,-96.78,32.84
116339,Aria Hotel and Casino-Promenade,Licensed Store,NV,US,-115.18,36.11
1016024,Albertsons - Baker City #3211,Licensed Store,OR,US,-117.82,44.78
17447,Safeway - Bremerton #1467,Licensed Store,WA,US,-122.65,47.57
1007206,Murfreesboro Memorial,Company Owned,TN,US,-86.39,35.87
1480,Limmatstrasse,Company Owned,ZH,CH,8.54,47.38
1007393,Hillv2,Company Owned,01,SG,103.76,1.36
1006008,Target Asheville T-1807,Licensed Store,NC,US,-82.52,35.58
20062,Rest Area KM 97,Licensed Store,JB,ID,107.44,-6.67
20128,Promenada,Joint Venture,MZ,PL,21.11,52.23
1011871,Aeon Mall BSD,Licensed Store,BT,ID,106.16,-6.04
90095,济南玉函路咖啡店,Company Owned,37,CN,117.01,36.65
1013690,TREC,Licensed Store,14,MY,101.7,3.15
14340,"STL - Concourse C, Gate 17",Licensed Store,MO,US,-90.36,38.74
12500,2nd & Division,Company Owned,WA,US,-117.41,47.65
6999,Macy's 6th Floor,Company Owned,NY,US,-73.99,40.75
68156,Macy's-Somerset Collection #301,Licensed Store,MI,US,-83.18,42.56
116347,Liverpool LJMU - Byrom St,Licensed Store,ENG,GB,-2.98,53.41
